headcount,eventtype,eventcategory,budget,venuecategory,budgetallocation,venue
706,aiconferencesexpos,conferencesexpos,2108000,exhibitionhall,"venue:38,speakers:25,food:7,av:13,marketing:10,logistics:3",BMICH
220,designmeetupscommunity,meetupscommunity,551000,openspace,"venue:28,food:22,av:7,marketing:12,logistics:25",Galadari
434,aicompetitionshackathons,competitionshackathons,1466000,openspace,"venue:17,speakers:7,prizes:30,food:23,av:16,marketing:8",Galadari
314,codecompetitionshackathons,competitionshackathons,468000,auditorium,"venue:18,speakers:11,prizes:30,food:21,av:12,marketing:8",SLIIT
48,designconferencesexpos,conferencesexpos,64000,coworkingspace,"venue:35,speakers:28,food:12,av:16,marketing:12,logistics:3",Gamers HQ
264,aicareernetworking,careernetworking,425000,coworkingspace,"venue:33,speakers:19,food:17,av:13,marketing:17",Trace Expert City
235,designconferencesexpos,conferencesexpos,110000,auditorium,"venue:35,speakers:27,food:7,av:13,marketing:7,logistics:3",Virtusa
145,codetalkspanels,talkspanels,225000,coworkingspace,"venue:28,speakers:20,food:21,av:16,marketing:14",Trace Expert City
461,codeworkshopstraining,workshopstraining,2757000,exhibitionhall,"venue:28,speakers:30,equipment:16,food:13,av:18,marketing:6",Shangri-La
598,techworkshopstraining,workshopstraining,711000,auditorium,"venue:25,speakers:29,equipment:14,food:7,av:16,marketing:7",NSBM
44,techtalkspanels,talkspanels,114000,studio,"venue:29,speakers:18,food:23,av:16,marketing:13",AOD
1148,techcompetitionshackathons,competitionshackathons,4104000,openspace,"venue:17,speakers:8,prizes:28,food:20,av:13,marketing:4",Nelum Pokuna
140,techmeetupscommunity,meetupscommunity,477000,openspace,"venue:32,food:28,av:8,marketing:7,logistics:27",Colombo Innovation Tower
971,designcompetitionshackathons,competitionshackathons,1049000,openspace,"venue:18,speakers:11,prizes:30,food:23,av:18,marketing:7",Galle Face
411,codeworkshopstraining,workshopstraining,1098000,exhibitionhall,"venue:25,speakers:33,equipment:15,food:7,av:16,marketing:2",BMICH
190,aiworkshopstraining,workshopstraining,272000,coworkingspace,"venue:26,speakers:27,equipment:13,food:7,av:17,marketing:5",Trace Expert City
233,aiconferencesexpos,conferencesexpos,473000,coworkingspace,"venue:34,speakers:22,food:9,av:12,marketing:7,logistics:6",Trace Expert City
858,codeconferencesexpos,conferencesexpos,2847000,openspace,"venue:34,speakers:28,food:7,av:15,marketing:13,logistics:6",Nelum Pokuna
42,codecompetitionshackathons,competitionshackathons,118000,studio,"venue:21,speakers:9,prizes:29,food:18,av:16,marketing:4",AOD
241,techmeetupscommunity,meetupscommunity,420000,coworkingspace,"venue:31,food:25,av:7,marketing:10,logistics:26",Trace Expert City
146,designmeetupscommunity,meetupscommunity,44000,auditorium,"venue:33,food:28,av:11,marketing:11,logistics:23",Virtusa
585,aicompetitionshackathons,competitionshackathons,2033000,openspace,"venue:18,speakers:13,prizes:27,food:19,av:13,marketing:3",Nelum Pokuna
89,designmeetupscommunity,meetupscommunity,227000,studio,"venue:27,food:25,av:10,marketing:10,logistics:28",AOD
419,codeconferencesexpos,conferencesexpos,355000,auditorium,"venue:34,speakers:23,food:12,av:18,marketing:7,logistics:5",NSBM
135,codeworkshopstraining,workshopstraining,359000,openspace,"venue:24,speakers:27,equipment:15,food:9,av:18,marketing:6",Colombo Innovation Tower
1670,designworkshopstraining,workshopstraining,1011000,openspace,"venue:22,speakers:29,equipment:17,food:9,av:14,marketing:8",Galle Face
371,aicompetitionshackathons,competitionshackathons,462000,auditorium,"venue:20,speakers:9,prizes:31,food:17,av:15,marketing:3",NSBM
150,aicareernetworking,careernetworking,526000,openspace,"venue:32,speakers:18,food:20,av:12,marketing:15",Colombo Innovation Tower
390,designtalkspanels,talkspanels,2483000,exhibitionhall,"venue:32,speakers:22,food:20,av:15,marketing:17",Shangri-La
173,techtalkspanels,talkspanels,137000,auditorium,"venue:27,speakers:23,food:18,av:13,marketing:17",UCSC
44,aiconferencesexpos,conferencesexpos,81000,coworkingspace,"venue:32,speakers:27,food:10,av:18,marketing:9,logistics:4",Gamers HQ
244,codeworkshopstraining,workshopstraining,280000,auditorium,"venue:27,speakers:27,equipment:12,food:9,av:12,marketing:4",SLIIT
423,designconferencesexpos,conferencesexpos,1188000,openspace,"venue:32,speakers:28,food:11,av:17,marketing:12,logistics:5",Galadari
388,codecompetitionshackathons,competitionshackathons,2012000,exhibitionhall,"venue:18,speakers:12,prizes:28,food:23,av:17,marketing:2",Shangri-La
152,designtalkspanels,talkspanels,58000,auditorium,"venue:28,speakers:20,food:18,av:12,marketing:14",Virtusa
131,aicareernetworking,careernetworking,56000,auditorium,"venue:27,speakers:22,food:22,av:12,marketing:13",Virtusa
380,designcompetitionshackathons,competitionshackathons,1218000,openspace,"venue:21,speakers:7,prizes:31,food:19,av:13,marketing:2",Galadari
132,designworkshopstraining,workshopstraining,439000,coworkingspace,"venue:23,speakers:28,equipment:13,food:12,av:13,marketing:2",Hatch
597,designtalkspanels,talkspanels,553000,auditorium,"venue:33,speakers:18,food:23,av:17,marketing:18",NSBM
433,designconferencesexpos,conferencesexpos,1427000,openspace,"venue:36,speakers:24,food:8,av:17,marketing:10,logistics:7",Galadari
113,aicareernetworking,careernetworking,287000,studio,"venue:33,speakers:21,food:17,av:17,marketing:14",AOD
674,codetalkspanels,talkspanels,3162000,exhibitionhall,"venue:32,speakers:19,food:20,av:13,marketing:18",Shangri-La
151,codetalkspanels,talkspanels,16000,auditorium,"venue:32,speakers:19,food:19,av:12,marketing:14",Virtusa
50,aitalkspanels,talkspanels,36000,auditorium,"venue:29,speakers:23,food:20,av:16,marketing:18",UCSC
69,codetalkspanels,talkspanels,254000,openspace,"venue:30,speakers:18,food:20,av:15,marketing:17",Colombo Innovation Tower
1777,codecompetitionshackathons,competitionshackathons,913000,openspace,"venue:23,speakers:10,prizes:28,food:23,av:18,marketing:8",Galle Face
210,techworkshopstraining,workshopstraining,97000,auditorium,"venue:26,speakers:31,equipment:13,food:13,av:15,marketing:4",Virtusa
182,codetalkspanels,talkspanels,595000,coworkingspace,"venue:28,speakers:20,food:19,av:15,marketing:16",Hatch
713,aiconferencesexpos,conferencesexpos,2292000,openspace,"venue:35,speakers:22,food:12,av:18,marketing:11,logistics:4",Nelum Pokuna
56,designconferencesexpos,conferencesexpos,28000,auditorium,"venue:32,speakers:23,food:8,av:17,marketing:12,logistics:4",UCSC
196,designconferencesexpos,conferencesexpos,77000,auditorium,"venue:35,speakers:22,food:7,av:15,marketing:12,logistics:8",Virtusa
159,codecareernetworking,careernetworking,343000,coworkingspace,"venue:33,speakers:18,food:22,av:12,marketing:12",Trace Expert City
344,techcompetitionshackathons,competitionshackathons,500000,auditorium,"venue:18,speakers:7,prizes:29,food:19,av:13,marketing:4",SLIIT
600,techtalkspanels,talkspanels,2717000,openspace,"venue:31,speakers:23,food:17,av:12,marketing:16",Nelum Pokuna
134,codemeetupscommunity,meetupscommunity,23000,auditorium,"venue:32,food:27,av:8,marketing:7,logistics:22",Virtusa
257,aicompetitionshackathons,competitionshackathons,389000,auditorium,"venue:17,speakers:8,prizes:33,food:19,av:12,marketing:2",SLIIT
128,designconferencesexpos,conferencesexpos,59000,auditorium,"venue:34,speakers:22,food:11,av:15,marketing:8,logistics:7",UCSC
183,designconferencesexpos,conferencesexpos,339000,coworkingspace,"venue:34,speakers:25,food:12,av:18,marketing:13,logistics:6",Trace Expert City
200,aiconferencesexpos,conferencesexpos,62000,auditorium,"venue:34,speakers:25,food:7,av:17,marketing:7,logistics:7",Virtusa
441,techworkshopstraining,workshopstraining,1521000,openspace,"venue:23,speakers:29,equipment:15,food:12,av:17,marketing:6",Galadari
77,designcareernetworking,careernetworking,90000,coworkingspace,"venue:29,speakers:23,food:20,av:13,marketing:13",Gamers HQ
82,techtalkspanels,talkspanels,46000,auditorium,"venue:33,speakers:20,food:20,av:15,marketing:17",UCSC
286,techconferencesexpos,conferencesexpos,331000,auditorium,"venue:34,speakers:25,food:9,av:12,marketing:12,logistics:4",SLIIT
83,codecompetitionshackathons,competitionshackathons,99000,coworkingspace,"venue:17,speakers:8,prizes:33,food:21,av:12,marketing:6",Gamers HQ
1912,designtalkspanels,talkspanels,1779000,openspace,"venue:29,speakers:23,food:21,av:17,marketing:13",Galle Face
75,aimeetupscommunity,meetupscommunity,282000,openspace,"venue:33,food:25,av:12,marketing:9,logistics:22",Colombo Innovation Tower
653,designmeetupscommunity,meetupscommunity,2830000,openspace,"venue:33,food:26,av:7,marketing:8,logistics:27",Nelum Pokuna
59,designcareernetworking,careernetworking,172000,studio,"venue:29,speakers:23,food:19,av:14,marketing:12",AOD
397,codemeetupscommunity,meetupscommunity,1310000,openspace,"venue:32,food:28,av:11,marketing:13,logistics:23",Galadari
115,designworkshopstraining,workshopstraining,332000,openspace,"venue:25,speakers:31,equipment:15,food:13,av:12,marketing:5",Colombo Innovation Tower
125,designtalkspanels,talkspanels,391000,coworkingspace,"venue:30,speakers:22,food:20,av:12,marketing:16",Hatch
281,techmeetupscommunity,meetupscommunity,587000,coworkingspace,"venue:30,food:27,av:11,marketing:10,logistics:24",Trace Expert City
143,aiworkshopstraining,workshopstraining,154000,auditorium,"venue:28,speakers:32,equipment:15,food:9,av:18,marketing:5",SLIIT
241,codetalkspanels,talkspanels,295000,coworkingspace,"venue:29,speakers:17,food:17,av:15,marketing:14",Trace Expert City
194,codeconferencesexpos,conferencesexpos,302000,coworkingspace,"venue:32,speakers:28,food:9,av:13,marketing:11,logistics:4",Trace Expert City
86,techcompetitionshackathons,competitionshackathons,231000,coworkingspace,"venue:17,speakers:10,prizes:32,food:21,av:16,marketing:5",Hatch
193,codeworkshopstraining,workshopstraining,199000,auditorium,"venue:28,speakers:28,equipment:18,food:12,av:17,marketing:3",SLIIT
523,designcareernetworking,careernetworking,489000,auditorium,"venue:29,speakers:19,food:18,av:18,marketing:12",NSBM
766,techworkshopstraining,workshopstraining,3922000,exhibitionhall,"venue:22,speakers:33,equipment:14,food:7,av:12,marketing:6",Shangri-La
671,designcompetitionshackathons,competitionshackathons,3051000,openspace,"venue:22,speakers:8,prizes:33,food:22,av:15,marketing:4",Nelum Pokuna
167,designcompetitionshackathons,competitionshackathons,57000,auditorium,"venue:21,speakers:11,prizes:32,food:19,av:17,marketing:6",UCSC
1824,codeconferencesexpos,conferencesexpos,1166000,openspace,"venue:35,speakers:25,food:7,av:17,marketing:12,logistics:8",Galle Face
231,codecareernetworking,careernetworking,295000,coworkingspace,"venue:32,speakers:23,food:18,av:17,marketing:12",Trace Expert City
161,designworkshopstraining,workshopstraining,223000,coworkingspace,"venue:25,speakers:30,equipment:16,food:10,av:17,marketing:3",Trace Expert City
480,codemeetupscommunity,meetupscommunity,2733000,exhibitionhall,"venue:33,food:25,av:11,marketing:10,logistics:25",Shangri-La
672,aitalkspanels,talkspanels,3273000,exhibitionhall,"venue:30,speakers:18,food:18,av:16,marketing:18",Shangri-La
518,techcompetitionshackathons,competitionshackathons,565000,openspace,"venue:23,speakers:13,prizes:30,food:18,av:16,marketing:8",Galle Face
340,designcareernetworking,careernetworking,1315000,openspace,"venue:32,speakers:23,food:17,av:16,marketing:17",Galadari
201,aiconferencesexpos,conferencesexpos,193000,auditorium,"venue:36,speakers:28,food:7,av:12,marketing:9,logistics:5",NSBM
293,codecareernetworking,careernetworking,578000,coworkingspace,"venue:29,speakers:22,food:23,av:18,marketing:18",Trace Expert City
255,codecompetitionshackathons,competitionshackathons,689000,openspace,"venue:17,speakers:12,prizes:33,food:23,av:18,marketing:4",Galadari
77,techmeetupscommunity,meetupscommunity,79000,coworkingspace,"venue:29,food:22,av:10,marketing:7,logistics:27",Gamers HQ
478,techcompetitionshackathons,competitionshackathons,1167000,exhibitionhall,"venue:18,speakers:8,prizes:32,food:23,av:14,marketing:6",BMICH
460,codeworkshopstraining,workshopstraining,1645000,openspace,"venue:22,speakers:28,equipment:12,food:13,av:18,marketing:4",Galadari
181,codeconferencesexpos,conferencesexpos,569000,coworkingspace,"venue:37,speakers:28,food:11,av:16,marketing:12,logistics:5",Hatch
169,aiworkshopstraining,workshopstraining,446000,coworkingspace,"venue:27,speakers:31,equipment:14,food:8,av:15,marketing:4",Hatch
1287,codeconferencesexpos,conferencesexpos,3023000,exhibitionhall,"venue:38,speakers:25,food:9,av:18,marketing:7,logistics:6",BMICH
225,designmeetupscommunity,meetupscommunity,233000,auditorium,"venue:29,food:23,av:7,marketing:8,logistics:22",SLIIT
1691,techcompetitionshackathons,competitionshackathons,1516000,openspace,"venue:22,speakers:12,prizes:31,food:17,av:17,marketing:5",Galle Face
57,aicompetitionshackathons,competitionshackathons,33000,auditorium,"venue:20,speakers:12,prizes:33,food:17,av:12,marketing:7",UCSC
116,designworkshopstraining,workshopstraining,18000,auditorium,"venue:26,speakers:32,equipment:13,food:10,av:17,marketing:7",Virtusa
308,aiconferencesexpos,conferencesexpos,969000,openspace,"venue:38,speakers:24,food:8,av:14,marketing:7,logistics:3",Galadari
334,techcompetitionshackathons,competitionshackathons,1322000,openspace,"venue:23,speakers:10,prizes:30,food:18,av:16,marketing:3",Galadari
606,codeconferencesexpos,conferencesexpos,3618000,exhibitionhall,"venue:37,speakers:28,food:10,av:13,marketing:8,logistics:6",Shangri-La
371,codeconferencesexpos,conferencesexpos,375000,auditorium,"venue:37,speakers:25,food:12,av:13,marketing:12,logistics:7",SLIIT
1573,designtalkspanels,talkspanels,1480000,openspace,"venue:27,speakers:23,food:19,av:15,marketing:13",Galle Face
162,designworkshopstraining,workshopstraining,99000,auditorium,"venue:27,speakers:30,equipment:13,food:7,av:14,marketing:4",UCSC
243,aicompetitionshackathons,competitionshackathons,814000,openspace,"venue:20,speakers:7,prizes:27,food:18,av:15,marketing:5",Galadari
342,designcareernetworking,careernetworking,1135000,openspace,"venue:29,speakers:19,food:20,av:18,marketing:13",Galadari
72,techcareernetworking,careernetworking,250000,openspace,"venue:32,speakers:22,food:21,av:15,marketing:14",Colombo Innovation Tower
123,designmeetupscommunity,meetupscommunity,0,auditorium,"venue:31,food:26,av:8,marketing:12,logistics:23",Virtusa
1327,techmeetupscommunity,meetupscommunity,2884000,exhibitionhall,"venue:31,food:28,av:13,marketing:8,logistics:24",BMICH
1303,techworkshopstraining,workshopstraining,1214000,openspace,"venue:28,speakers:27,equipment:13,food:12,av:16,marketing:2",Galle Face
79,designtalkspanels,talkspanels,157000,studio,"venue:31,speakers:22,food:17,av:16,marketing:16",AOD
329,techmeetupscommunity,meetupscommunity,1188000,openspace,"venue:31,food:24,av:12,marketing:13,logistics:22",Galadari
68,designcareernetworking,careernetworking,80000,coworkingspace,"venue:30,speakers:18,food:21,av:12,marketing:13",Gamers HQ
117,aitalkspanels,talkspanels,231000,studio,"venue:29,speakers:17,food:18,av:18,marketing:14",AOD
110,aitalkspanels,talkspanels,299000,openspace,"venue:30,speakers:21,food:19,av:18,marketing:13",Colombo Innovation Tower
1062,designmeetupscommunity,meetupscommunity,686000,openspace,"venue:28,food:23,av:10,marketing:13,logistics:27",Galle Face
119,designcompetitionshackathons,competitionshackathons,348000,studio,"venue:21,speakers:9,prizes:30,food:17,av:15,marketing:8",AOD
1807,aicareernetworking,careernetworking,1888000,openspace,"venue:32,speakers:23,food:20,av:15,marketing:18",Galle Face
568,aimeetupscommunity,meetupscommunity,3345000,exhibitionhall,"venue:33,food:25,av:9,marketing:13,logistics:23",Shangri-La
67,techmeetupscommunity,meetupscommunity,207000,coworkingspace,"venue:33,food:22,av:8,marketing:9,logistics:26",Hatch
233,codeconferencesexpos,conferencesexpos,408000,coworkingspace,"venue:35,speakers:26,food:9,av:16,marketing:11,logistics:2",Trace Expert City
71,designcareernetworking,careernetworking,129000,coworkingspace,"venue:30,speakers:20,food:22,av:16,marketing:15",Gamers HQ
1061,codeconferencesexpos,conferencesexpos,3175000,exhibitionhall,"venue:37,speakers:28,food:10,av:13,marketing:13,logistics:4",BMICH
972,techconferencesexpos,conferencesexpos,4340000,openspace,"venue:37,speakers:28,food:7,av:15,marketing:13,logistics:7",Nelum Pokuna
954,designtalkspanels,talkspanels,4609000,openspace,"venue:27,speakers:19,food:21,av:16,marketing:18",Nelum Pokuna
607,codecompetitionshackathons,competitionshackathons,2874000,openspace,"venue:20,speakers:13,prizes:32,food:23,av:15,marketing:4",Nelum Pokuna
756,designworkshopstraining,workshopstraining,2869000,openspace,"venue:27,speakers:30,equipment:15,food:13,av:16,marketing:3",Nelum Pokuna
49,codecompetitionshackathons,competitionshackathons,128000,studio,"venue:20,speakers:10,prizes:28,food:21,av:15,marketing:3",AOD
102,techtalkspanels,talkspanels,64000,auditorium,"venue:28,speakers:21,food:21,av:17,marketing:14",UCSC
693,aicompetitionshackathons,competitionshackathons,3117000,openspace,"venue:18,speakers:13,prizes:28,food:18,av:17,marketing:3",Nelum Pokuna
96,designmeetupscommunity,meetupscommunity,361000,openspace,"venue:29,food:23,av:8,marketing:7,logistics:25",Colombo Innovation Tower
196,techcompetitionshackathons,competitionshackathons,313000,auditorium,"venue:18,speakers:10,prizes:32,food:20,av:15,marketing:4",SLIIT
1830,codeconferencesexpos,conferencesexpos,1375000,openspace,"venue:34,speakers:25,food:9,av:14,marketing:11,logistics:5",Galle Face
66,aicompetitionshackathons,competitionshackathons,109000,coworkingspace,"venue:17,speakers:10,prizes:27,food:23,av:17,marketing:3",Gamers HQ
182,aicareernetworking,careernetworking,329000,coworkingspace,"venue:30,speakers:21,food:17,av:17,marketing:12",Trace Expert City
478,techtalkspanels,talkspanels,577000,auditorium,"venue:28,speakers:20,food:23,av:14,marketing:16",NSBM
769,aicareernetworking,careernetworking,1892000,exhibitionhall,"venue:27,speakers:22,food:17,av:16,marketing:17",BMICH
200,aicompetitionshackathons,competitionshackathons,388000,coworkingspace,"venue:20,speakers:8,prizes:28,food:19,av:16,marketing:2",Trace Expert City
732,designmeetupscommunity,meetupscommunity,3776000,exhibitionhall,"venue:27,food:24,av:9,marketing:8,logistics:26",Shangri-La
319,techcompetitionshackathons,competitionshackathons,460000,auditorium,"venue:19,speakers:7,prizes:27,food:19,av:16,marketing:2",SLIIT
580,designconferencesexpos,conferencesexpos,3028000,exhibitionhall,"venue:36,speakers:26,food:12,av:15,marketing:10,logistics:8",Shangri-La
1648,codetalkspanels,talkspanels,1382000,openspace,"venue:31,speakers:22,food:21,av:14,marketing:17",Galle Face
193,codemeetupscommunity,meetupscommunity,104000,auditorium,"venue:27,food:25,av:13,marketing:7,logistics:23",UCSC
307,techmeetupscommunity,meetupscommunity,904000,openspace,"venue:31,food:25,av:13,marketing:12,logistics:22",Galadari
875,designconferencesexpos,conferencesexpos,1848000,exhibitionhall,"venue:34,speakers:23,food:7,av:16,marketing:8,logistics:8",BMICH
110,designworkshopstraining,workshopstraining,182000,coworkingspace,"venue:23,speakers:27,equipment:14,food:13,av:18,marketing:7",Trace Expert City
239,aiworkshopstraining,workshopstraining,21000,auditorium,"venue:22,speakers:31,equipment:15,food:7,av:13,marketing:4",Virtusa
200,designcompetitionshackathons,competitionshackathons,120000,auditorium,"venue:17,speakers:13,prizes:32,food:21,av:13,marketing:2",UCSC
302,codemeetupscommunity,meetupscommunity,1035000,openspace,"venue:27,food:24,av:11,marketing:13,logistics:26",Galadari
60,designtalkspanels,talkspanels,69000,coworkingspace,"venue:30,speakers:20,food:20,av:16,marketing:13",Gamers HQ
257,techtalkspanels,talkspanels,408000,coworkingspace,"venue:31,speakers:17,food:19,av:13,marketing:16",Trace Expert City
1252,codetalkspanels,talkspanels,1370000,openspace,"venue:28,speakers:19,food:21,av:13,marketing:17",Galle Face
1154,aitalkspanels,talkspanels,5166000,openspace,"venue:32,speakers:22,food:21,av:15,marketing:15",Nelum Pokuna
185,designcareernetworking,careernetworking,27000,auditorium,"venue:29,speakers:17,food:21,av:15,marketing:17",Virtusa
207,designcompetitionshackathons,competitionshackathons,396000,coworkingspace,"venue:18,speakers:9,prizes:30,food:20,av:12,marketing:7",Trace Expert City
219,aitalkspanels,talkspanels,199000,auditorium,"venue:28,speakers:20,food:22,av:14,marketing:13",SLIIT
52,codecareernetworking,careernetworking,130000,openspace,"venue:28,speakers:18,food:20,av:14,marketing:13",Colombo Innovation Tower
465,techworkshopstraining,workshopstraining,1373000,openspace,"venue:25,speakers:27,equipment:17,food:12,av:18,marketing:2",Galadari
181,designcareernetworking,careernetworking,74000,auditorium,"venue:29,speakers:22,food:19,av:15,marketing:18",UCSC
135,techtalkspanels,talkspanels,403000,openspace,"venue:33,speakers:17,food:19,av:17,marketing:18",Colombo Innovation Tower
781,codecareernetworking,careernetworking,4656000,exhibitionhall,"venue:29,speakers:18,food:19,av:16,marketing:16",Shangri-La
130,aicompetitionshackathons,competitionshackathons,471000,openspace,"venue:17,speakers:7,prizes:29,food:22,av:14,marketing:6",Colombo Innovation Tower
293,designconferencesexpos,conferencesexpos,281000,auditorium,"venue:32,speakers:27,food:12,av:18,marketing:12,logistics:2",NSBM
81,techtalkspanels,talkspanels,260000,coworkingspace,"venue:29,speakers:21,food:21,av:17,marketing:18",Hatch
935,codetalkspanels,talkspanels,872000,openspace,"venue:32,speakers:21,food:19,av:12,marketing:14",Galle Face
136,codetalkspanels,talkspanels,344000,coworkingspace,"venue:27,speakers:18,food:19,av:16,marketing:15",Hatch
39,codecareernetworking,careernetworking,73000,coworkingspace,"venue:30,speakers:18,food:18,av:13,marketing:14",Gamers HQ
1376,aiworkshopstraining,workshopstraining,2631000,exhibitionhall,"venue:24,speakers:32,equipment:12,food:8,av:17,marketing:3",BMICH
671,designmeetupscommunity,meetupscommunity,2089000,openspace,"venue:31,food:26,av:10,marketing:9,logistics:25",Nelum Pokuna
413,codeworkshopstraining,workshopstraining,767000,exhibitionhall,"venue:28,speakers:33,equipment:15,food:8,av:12,marketing:3",BMICH
79,designworkshopstraining,workshopstraining,122000,studio,"venue:27,speakers:27,equipment:18,food:10,av:14,marketing:3",AOD
948,codeworkshopstraining,workshopstraining,928000,openspace,"venue:22,speakers:31,equipment:12,food:7,av:15,marketing:3",Galle Face
63,techcareernetworking,careernetworking,73000,coworkingspace,"venue:32,speakers:20,food:22,av:15,marketing:17",Gamers HQ
159,designtalkspanels,talkspanels,61000,auditorium,"venue:29,speakers:17,food:17,av:12,marketing:17",UCSC
65,aiconferencesexpos,conferencesexpos,66000,coworkingspace,"venue:34,speakers:27,food:12,av:16,marketing:12,logistics:2",Gamers HQ
121,techworkshopstraining,workshopstraining,51000,auditorium,"venue:26,speakers:28,equipment:13,food:9,av:14,marketing:8",Virtusa
146,aitalkspanels,talkspanels,188000,auditorium,"venue:33,speakers:21,food:21,av:17,marketing:18",SLIIT
177,designcompetitionshackathons,competitionshackathons,0,auditorium,"venue:20,speakers:10,prizes:29,food:17,av:18,marketing:6",Virtusa
287,aiconferencesexpos,conferencesexpos,507000,coworkingspace,"venue:38,speakers:23,food:13,av:13,marketing:7,logistics:3",Trace Expert City
82,techworkshopstraining,workshopstraining,47000,auditorium,"venue:28,speakers:27,equipment:14,food:9,av:13,marketing:2",UCSC
72,aimeetupscommunity,meetupscommunity,223000,openspace,"venue:30,food:27,av:11,marketing:11,logistics:25",Colombo Innovation Tower
1395,designcareernetworking,careernetworking,3796000,exhibitionhall,"venue:33,speakers:21,food:22,av:17,marketing:17",BMICH
292,designconferencesexpos,conferencesexpos,511000,coworkingspace,"venue:37,speakers:23,food:11,av:15,marketing:10,logistics:7",Trace Expert City
230,codetalkspanels,talkspanels,853000,openspace,"venue:32,speakers:22,food:20,av:14,marketing:13",Galadari
114,codeconferencesexpos,conferencesexpos,280000,studio,"venue:38,speakers:23,food:11,av:18,marketing:7,logistics:6",AOD
635,techworkshopstraining,workshopstraining,3454000,exhibitionhall,"venue:26,speakers:28,equipment:13,food:10,av:13,marketing:6",Shangri-La
1365,aitalkspanels,talkspanels,1123000,openspace,"venue:27,speakers:22,food:21,av:16,marketing:15",Galle Face
258,codeworkshopstraining,workshopstraining,543000,coworkingspace,"venue:25,speakers:27,equipment:15,food:7,av:13,marketing:4",Trace Expert City
225,aicompetitionshackathons,competitionshackathons,768000,openspace,"venue:23,speakers:7,prizes:30,food:21,av:16,marketing:2",Galadari
519,techworkshopstraining,workshopstraining,2582000,exhibitionhall,"venue:23,speakers:30,equipment:14,food:8,av:13,marketing:7",Shangri-La
62,codemeetupscommunity,meetupscommunity,178000,coworkingspace,"venue:31,food:22,av:10,marketing:12,logistics:24",Hatch
167,codemeetupscommunity,meetupscommunity,386000,coworkingspace,"venue:30,food:28,av:8,marketing:8,logistics:22",Hatch
842,aiconferencesexpos,conferencesexpos,2418000,exhibitionhall,"venue:32,speakers:23,food:9,av:14,marketing:10,logistics:3",BMICH
101,techcareernetworking,careernetworking,33000,auditorium,"venue:31,speakers:20,food:21,av:12,marketing:12",Virtusa
168,aicareernetworking,careernetworking,19000,auditorium,"venue:32,speakers:21,food:19,av:13,marketing:18",Virtusa
693,designtalkspanels,talkspanels,3951000,exhibitionhall,"venue:31,speakers:21,food:21,av:15,marketing:16",Shangri-La
104,aimeetupscommunity,meetupscommunity,342000,coworkingspace,"venue:32,food:27,av:9,marketing:9,logistics:27",Hatch
90,designcareernetworking,careernetworking,251000,studio,"venue:32,speakers:22,food:21,av:16,marketing:13",AOD
74,techmeetupscommunity,meetupscommunity,165000,studio,"venue:28,food:23,av:7,marketing:13,logistics:28",AOD
71,techconferencesexpos,conferencesexpos,280000,openspace,"venue:32,speakers:23,food:8,av:13,marketing:9,logistics:7",Colombo Innovation Tower
547,codeconferencesexpos,conferencesexpos,569000,auditorium,"venue:35,speakers:28,food:13,av:18,marketing:8,logistics:3",NSBM
124,aimeetupscommunity,meetupscommunity,44000,auditorium,"venue:31,food:28,av:9,marketing:7,logistics:27",Virtusa
98,techconferencesexpos,conferencesexpos,371000,openspace,"venue:38,speakers:28,food:8,av:13,marketing:9,logistics:4",Colombo Innovation Tower
81,aicompetitionshackathons,competitionshackathons,163000,studio,"venue:21,speakers:12,prizes:27,food:22,av:16,marketing:8",AOD
376,designcompetitionshackathons,competitionshackathons,572000,auditorium,"venue:17,speakers:7,prizes:30,food:21,av:15,marketing:6",SLIIT
1104,codeconferencesexpos,conferencesexpos,899000,openspace,"venue:36,speakers:22,food:8,av:16,marketing:11,logistics:2",Galle Face
65,aimeetupscommunity,meetupscommunity,26000,auditorium,"venue:27,food:22,av:11,marketing:10,logistics:26",UCSC
1040,techconferencesexpos,conferencesexpos,871000,openspace,"venue:38,speakers:28,food:13,av:17,marketing:13,logistics:7",Galle Face
149,codeworkshopstraining,workshopstraining,386000,openspace,"venue:26,speakers:29,equipment:15,food:9,av:17,marketing:5",Colombo Innovation Tower
93,techmeetupscommunity,meetupscommunity,344000,openspace,"venue:31,food:26,av:13,marketing:11,logistics:22",Colombo Innovation Tower
95,designtalkspanels,talkspanels,301000,openspace,"venue:27,speakers:17,food:20,av:13,marketing:16",Colombo Innovation Tower
1996,aiconferencesexpos,conferencesexpos,1621000,openspace,"venue:36,speakers:23,food:10,av:14,marketing:11,logistics:2",Galle Face
40,techcompetitionshackathons,competitionshackathons,110000,studio,"venue:21,speakers:9,prizes:27,food:21,av:13,marketing:4",AOD
214,designcareernetworking,careernetworking,243000,auditorium,"venue:33,speakers:20,food:18,av:17,marketing:18",SLIIT
117,aitalkspanels,talkspanels,121000,auditorium,"venue:28,speakers:18,food:19,av:14,marketing:16",SLIIT
1511,codeworkshopstraining,workshopstraining,1450000,openspace,"venue:24,speakers:29,equipment:16,food:12,av:18,marketing:6",Galle Face
532,designcareernetworking,careernetworking,2938000,exhibitionhall,"venue:31,speakers:19,food:17,av:17,marketing:15",Shangri-La
564,codecompetitionshackathons,competitionshackathons,3697000,exhibitionhall,"venue:17,speakers:9,prizes:31,food:23,av:13,marketing:7",Shangri-La
